Company Name,Industry,Symbol,Series,ISIN Code
Brookfield India Real Estate Trust,Realty,BIRET,RR,INE0FDU25010
EMBASSY OFFICE PARKS REIT,Realty,EMBASSY,RR,INE041025011
INDIA GRID TRUST,Power,INDIGRID,IV,INE219X23014
IRB INVIT FUND,Services,IRBINVIT,IV,INE183W23014
MINDSPACE BUSINESS PARKS REIT,Realty,MINDSPACE,RR,INE0CCU25019
Nexus Select Trust,Realty,NXST,RR,INE0NDH25011
POWERGRID Infrastructure Investment Trust,Power,PGINVIT,IV,INE0GGX23010
